# Time-averaged data for fix avgRDF
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2]
5100 150
62 4.018 0.912789
63 4.08333 0.848461
64 4.14867 1.19868
65 4.214 1.46054
66 4.27933 0.869086
67 4.34467 0.78069
68 4.41 1.18206
69 4.47533 1.05951
70 4.54067 0.857697
71 4.606 1.00025
72 4.67133 1.26961
73 4.73667 1.12973
74 4.802 0.894698
75 4.86733 1.14453
76 4.93267 1.13864
77 4.998 1.17986
78 5.06333 1.1726
79 5.12867 0.963637
80 5.194 1.0488
81 5.25933 1.06552
82 5.32467 1.08112
83 5.39 1.07536
84 5.45533 0.851688
85 5.52067 0.754286
86 5.586 0.887873
87 5.65133 0.682896
88 5.71667 1.22653
89 5.782 0.811067
90 5.84733 0.913724
91 5.91267 0.809337
92 5.978 0.956691
93 6.04333 1.03296
94 6.10867 0.947794
95 6.174 0.989697
96 6.23933 1.07507
97 6.30467 0.978758
98 6.37 0.857095
99 6.43533 0.854014
100 6.50067 1.19961
101 6.566 1.08014
102 6.63133 1.08577
103 6.69667 0.880671
104 6.762 1.10868
105 6.82733 0.98639
106 6.89267 1.10426
107 6.958 1.12015
108 7.02333 1.0277
109 7.08867 1.11443
110 7.154 0.967471
111 7.21933 1.07445
112 7.28467 1.08859
113 7.35 1.03659
114 7.41533 0.943361
115 7.48067 1.02176
116 7.546 1.02485
117 7.61133 1.15995
118 7.67667 1.27033
119 7.742 1.02278
120 7.80733 0.996068
121 7.87267 0.970093
122 7.938 0.75774
123 8.00333 0.92027
124 8.06867 1.05935
125 8.134 0.926579
126 8.19933 1.01709
127 8.26467 0.845732
128 8.33 1.2063
129 8.39533 0.894881
130 8.46067 1.07875
131 8.526 0.989297
132 8.59133 0.878474
133 8.65667 0.896729
134 8.722 0.976328
135 8.78733 0.916062
136 8.85267 1.06054
137 8.918 1.07471
138 8.98333 1.03722
139 9.04867 1.0151
140 9.114 1.10704
141 9.17933 1.04237
142 9.24467 0.944922
143 9.31 1.06772
144 9.37533 0.945591
145 9.44067 1.02514
146 9.506 0.945867
147 9.57133 0.907261
148 9.63667 1.0156
149 9.702 0.951873
150 9.76733 1.05658
5900 150
1 0.0326667 0
2 0.098 0
3 0.163333 0
4 0.228667 0
5 0.294 0
6 0.359333 0
7 0.424667 0
8 0.49 0
9 0.555333 0
10 0.620667 0
11 0.686 0
12 0.751333 0
13 0.816667 0
14 0.882 0
15 0.947333 0
16 1.01267 0
17 1.078 0
18 1.14333 0
19 1.20867 0
20 1.274 0
21 1.33933 0
22 1.40467 0
23 1.47 0
24 1.53533 0
25 1.60067 0
26 1.666 0
27 1.73133 0
28 1.79667 0
29 1.862 0
30 1.92733 0
31 1.99267 0
32 2.058 0
33 2.12333 0
34 2.18867 0
35 2.254 0
36 2.31933 0
37 2.38467 0
38 2.45 0
39 2.51533 0.186326
40 2.58067 0.531036
41 2.646 2.52568
42 2.71133 2.08471
43 2.77667 3.0581
44 2.842 2.84614
45 2.90733 2.51047
46 2.97267 1.20067
47 3.038 1.27731
48 3.10333 0.97928
49 3.16867 1.05673
50 3.234 0.507233
51 3.29933 0.758091
52 3.36467 0.833071
53 3.43 0.651331
54 3.49533 0.868445
55 3.56067 0.604405
56 3.626 0.672486
57 3.69133 0.865191
58 3.75667 1.29481
59 3.822 0.807045
60 3.88733 1.40426
61 3.95267 1.24504
62 4.018 0.693719
63 4.08333 1.20199
64 4.14867 0.924692
